OBJECTID *,Region,admin2Name_en,admin2Pcode,Shape_Length,Shape_Area
34,Dagoretti South,Dagoretti,KE047276,0.267128,0.001986
38,Embakasi,Embakasi Central,KE047284,0.130085,0.000665
39,Embakasi,Embakasi East,KE047285,0.405266,0.006976
40,Embakasi,Embakasi North,KE047283,0.143452,0.000441
41,Embakasi,Embakasi South,KE047282,0.243431,0.001426
42,Embakasi,Embakasi West,KE047286,0.168045,0.000793
82,Kamukunji,Kamukunji,KE047288,0.1399,0.000718
90,Kasarani,Kasarani,KE047280,0.712715,0.011074
99,Kibra,Kibra,KE047278,0.204387,0.001002
109,Westlands,Kilimani,KE047275,0.228079,0.002385
145,Lang'ata,Lang'ata,KE047277,0.879392,0.01705
158,Makadara,Makadara,KE047287,0.173443,0.000975
172,Mathare,Mathare,KE047290,0.108716,0.000236
232,Kasarani,Roysambu,KE047279,0.378024,0.003909
233,Kasarani,Ruaraka,KE047281,0.160805,0.000583
252,Starehe,Starehe,KE047289,0.200733,0.001368
288,Westlands,Westlands,KE047274,0.405298,0.005908
